year,state_name,Levels Of Crime,Category,Value
2010,Texas,Level 2,Aggravated Assault,71517
2006,California,Level 3,Robbery,71142
2007,California,Level 3,Robbery,70706
2004,New York,Level 3,Burglary,70696
2005,Illinois,Level 2,Violent Crime,70496
2003,Illinois,Level 2,Violent Crime,70376
2010,Florida,Level 2,Aggravated Assault,69523
2008,California,Level 3,Robbery,69388
2004,Illinois,Level 2,Violent Crime,69365
1998,California,Level 3,Robbery,68782
2006,New York,Level 3,Burglary,68617
2007,Illinois,Level 2,Violent Crime,68528
2014,Texas,Level 3,Motor Vehicle Theft,68412
1998,New York,Level 3,Motor Vehicle Theft,68171
2015,Georgia,Level 3,Burglary,68149
2005,New York,Level 3,Burglary,68034
2010,Texas,Level 3,Motor Vehicle Theft,68023
2008,Illinois,Level 2,Violent Crime,67780
2015,Texas,Level 2,Aggravated Assault,67629
2015,Texas,Level 3,Motor Vehicle Theft,67514
2011,Texas,Level 2,Aggravated Assault,67498
2012,Texas,Level 2,Aggravated Assault,67227
1996,Illinois,Level 2,Aggravated Assault,66649
2011,Florida,Level 2,Aggravated Assault,66319
2014,Texas,Level 2,Aggravated Assault,65862
2010,New York,Level 3,Burglary,65839
2013,Texas,Level 3,Motor Vehicle Theft,65787
2008,New York,Level 3,Burglary,65544
2013,Texas,Level 2,Aggravated Assault,65351
2011,New York,Level 3,Burglary,65227
2012,Texas,Level 3,Motor Vehicle Theft,65032
2002,California,Level 3,Robbery,64968
2007,New York,Level 3,Burglary,64914
1996,New York,Level 2,Aggravated Assault,64857
2001,California,Level 3,Robbery,64614
2012,New York,Level 3,Burglary,64389
2009,Illinois,Level 2,Violent Crime,64185
2009,California,Level 3,Robbery,64093
2012,Florida,Level 2,Aggravated Assault,63929
2011,Texas,Level 3,Motor Vehicle Theft,63924
2015,Florida,Level 2,Aggravated Assault,63895
1997,Illinois,Level 2,Aggravated Assault,63842
2003,California,Level 3,Robbery,63770
1997,New York,Level 2,Aggravated Assault,63628
2005,California,Level 3,Robbery,63622
2008,Florida,Level 3,Motor Vehicle Theft,63515
2009,New York,Level 3,Burglary,62769
1998,Illinois,Level 2,Aggravated Assault,62261
1998,New York,Level 2,Aggravated Assault,62023
1995,Illinois,Level 3,Motor Vehicle Theft,61874
1996,New York,Level 3,Robbery,61822
2004,California,Level 3,Robbery,61768
2014,Florida,Level 2,Aggravated Assault,61610
2013,Florida,Level 2,Aggravated Assault,61054
2000,California,Level 3,Robbery,60249
2000,New York,Level 2,Aggravated Assault,60090
1999,California,Level 3,Robbery,60039
1999,New York,Level 2,Aggravated Assault,58860
1999,New York,Level 3,Motor Vehicle Theft,58261
2010,California,Level 3,Robbery,58116
1996,Illinois,Level 3,Motor Vehicle Theft,58077
2001,New York,Level 2,Aggravated Assault,56961
1999,Illinois,Level 3,Motor Vehicle Theft,56668
2012,California,Level 3,Robbery,56521
2013,New York,Level 3,Burglary,56444
1997,New York,Level 3,Robbery,56094
1997,Illinois,Level 3,Motor Vehicle Theft,55423
2011,California,Level 3,Robbery,54291
2000,New York,Level 3,Motor Vehicle Theft,54231
2013,California,Level 3,Robbery,53640
2002,New York,Level 2,Aggravated Assault,53583
1998,Illinois,Level 3,Motor Vehicle Theft,52932
2015,California,Level 3,Robbery,52862
1999,Illinois,Level 2,Aggravated Assault,52020
2014,New York,Level 3,Burglary,50738
2000,Illinois,Level 2,Aggravated Assault,50731
2000,Illinois,Level 3,Motor Vehicle Theft,50267
2009,Florida,Level 3,Motor Vehicle Theft,50259
2001,Illinois,Level 2,Aggravated Assault,49347
1998,New York,Level 3,Robbery,49125
2003,New York,Level 2,Aggravated Assault,48987
2001,Illinois,Level 3,Motor Vehicle Theft,48733
2014,California,Level 3,Robbery,48681
2001,New York,Level 3,Motor Vehicle Theft,48287
